country,year,unemployment_percentage_change,inflation_percentage_change
Greece,2006,-11.59420289855072,-9.848201103184527
Greece,2007,-6.231753873792945,-9.416415258829392
Greece,2008,-8.226559693449897,43.44706283858135
Greece,2009,24.556367432150303,-70.86126125602523
Greece,2010,33.23905300649488,289.47983118356325
Greece,2011,41.30827895274785,-29.347316980987912
Greece,2012,37.60084571301399,-54.90711282201814
Greece,2013,11.948566576361651,-161.35550524999496
Greece,2014,-3.53247128512606,42.44051599696259
Greece,2015,-6.466227347611186,32.282228582698295
Greece,2016,-5.872463071934675,-52.43621966570509
Greece,2017,-8.930849706557787,-235.80198846931492
Greece,2018,-10.437097226113767,-44.20344338946344
Greece,2019,-11.126753219667329,-59.55900537566799
Greece,2020,-6.723379290114417,-593.2594675979634
Greece,2021,-7.811812063651802,-198.06419356378123
Greece,2022,-15.221395920038203,688.1240973331636
Greece,2023,-11.500080476420417,-64.07767802864058
Hungary,1990,0.0,65.42858591491871
Hungary,1991,0.0,22.72835478663513
Hungary,1992,16.96470588235295,-32.05804085271679
Hungary,1993,21.685777509555425,-5.0367781268679686
Hungary,1994,-10.3405521573814,-16.008378128312284
Hungary,1995,-6.259795335115703,50.01778604866569
Hungary,1996,-1.4358772619984197,-17.086585944382303
Hungary,1997,-10.287367790860111,-22.003277247477943
Hungary,1998,-0.7340674007340509,-22.67832769765834
Hungary,1999,-22.36414565826331,-29.363482570902843
Hungary,2000,-5.282147496031186,-1.941777286897384
Hungary,2001,-13.591345421301227,-7.005593247390984
Hungary,2002,-1.1109151825075103,-42.24461488195925
Hungary,2003,3.2453637660485146,-11.479198772923604
Hungary,2004,0.7253886010362587,44.69689490073552
Hungary,2005,23.26817558299039,-47.19255664444335
Hungary,2006,4.242592850187776,10.355388229084904
Hungary,2007,-1.1742727515345663,102.49580029879444
Hungary,2008,5.549554415338931,-24.07706976756807
Hungary,2009,28.31009338620953,-30.29866823086456
Hungary,2010,11.385842472582276,15.287044532643469
Hungary,2011,-1.2799856784819208,-19.063452155185555
Hungary,2012,-0.2357421343730181,43.8233793203622
Hungary,2013,-7.507043533581759,-69.33553902874445
Hungary,2014,-24.09354426648325,-113.12983445042416
Hungary,2015,-11.805825242718448,-72.9113283224648
Hungary,2016,-24.92294143549096,-740.3947704814107
Hungary,2017,-18.748778103616825,494.8392568422245
Hungary,2018,-10.755534167468715,21.377904850156536
Hungary,2019,-7.818819088703155,17.133191240852064
Hungary,2020,24.30535244223457,-0.3547158810438211
Hungary,2021,-4.823529411764705,53.63266792270125
Hungary,2022,-10.778739184178,185.8196635426061
Hungary,2023,14.325297866445007,17.228896625159564
Iceland,1990,0.0,-25.279042963110644
Iceland,1991,0.0,-56.10275986256652
Iceland,1992,68.95604395604393,-42.020267684478
Iceland,1993,22.113821138211385,2.4100326617360945
Iceland,1994,1.3125356667300636,-61.59503426960071
Iceland,1995,-2.440856177243711,6.348811877245675
Iceland,1996,-30.71593533487298,36.89291789982634
Iceland,1997,3.333333333333344,-19.68609285918389
Iceland,1998,-17.500000000000004,-8.603417587819784
Iceland,1999,-29.032258064516125,94.77768606720956
Iceland,2000,-11.111111111111116,58.93370274487504
Iceland,2001,-3.2024793388429678,24.69816756875005
Iceland,2002,59.44503735325506,-18.861000391728734
Iceland,2003,33.768406961178044,-60.44536316096032
Iceland,2004,0.8506379784838591,53.63378069125795
Iceland,2005,-36.814686182088806,26.244581038133784
Iceland,2006,11.111111111111116,67.72006129543726
Iceland,2007,-20.459363957597176,-24.457938676672697
Iceland,2008,30.87516659262553,151.29664700937232
Iceland,2009,145.07807196198232,-5.445430595212287
Iceland,2010,4.764542936288096,-55.03896734067239
Iceland,2011,-7.086197778952941,-25.86203490339084
Iceland,2012,-14.62720546385885,29.614230314436817
Iceland,2013,-10.4,-25.330621095090443
Iceland,2014,-8.909970238095244,-47.19867318804106
Iceland,2015,-18.74617112517868,-20.1289372443484
Iceland,2016,-25.157074641869816,3.9111980451869366
Iceland,2017,-7.924781732706521,3.741348260923472
Iceland,2018,-1.3858497447118867,52.402517632325086
Iceland,2019,29.69674556213018,12.33933158283933
Iceland,2020,56.20188195038494,-5.5092677854763465
Iceland,2021,10.058415480102225,56.05190583007884
Iceland,2022,-37.153756841930665,86.9556026030929
Iceland,2023,-5.991026656109799,5.145751403560794
Ireland,1990,0.0,-18.872948052778927
Ireland,1991,0.0,-3.210971847247968
Ireland,1992,-4.755564009891577,-4.385554322105434
Ireland,1993,3.661540509952732,-52.136289128096
Ireland,1994,-6.595594374157088,57.15108216409768
Ireland,1995,-17.69801980198019,9.339267370765224
Ireland,1996,-2.322472848788637,-30.46182406017367
Ireland,1997,-12.82928498118372,-12.1852951335927
Ireland,1998,-24.46036106750393,56.16018847317339
Ireland,1999,-24.61358618002337,-32.30473267711142
Ireland,2000,-25.603032391454185,242.2099779402247
Ireland,2001,-14.682723483094016,-12.995296429790958
Ireland,2002,14.440825190010864,-4.628205130963236
Ireland,2003,6.2144212523719045,-24.544850662029692
Ireland,2004,0.2903081732916535,-37.61714256088751
Ireland,2005,-3.295479848586058,12.760844376309644
Ireland,2006,1.6578402026249162,60.215182276291856
Ireland,2007,12.797281993205,24.137243120399333
Ireland,2008,36.02409638554216,-17.398717304214816
Ireland,2009,86.13817537643934,-210.2054094464964
Ireland,2010,15.266872868585946,-79.35066966013798
Ireland,2011,5.641943030136232,-377.5489784066309
Ireland,2012,0.6317571968216917,-33.512922975050095
Ireland,2013,-11.106077276551684,-69.60600857346142
Ireland,2014,-13.665817255187472,-62.93601438953099
Ireland,2015,-16.444594366672295,-273.35325028836314
Ireland,2016,-15.482438433589008,-106.08073096301251
Ireland,2017,-19.835204203486988,1699.6377897212658
Ireland,2018,-14.479368389691649,30.084425003497905
Ireland,2019,-13.778087441212328,99.06215687733744
Ireland,2020,13.595959595959606,-134.78019930460405
Ireland,2021,10.154721678819122,-817.4918567577133
Ireland,2022,-27.68808524378431,234.54342404426583
Ireland,2023,-3.1033712882339914,-19.54199913055431
Israel,1990,0.0,-15.566462048114447
Israel,1991,0.0,11.3428262117115
Israel,1992,5.17666392769105,-37.2065336612304
Israel,1993,-9.509943181818182,-9.08708321571875
Israel,1994,-22.03123773644141,12.373790439600027
Israel,1995,-11.596537145158036,-19.09543379156835
Israel,1996,-3.723525392849014,14.954988142139891
Israel,1997,15.328208160851563,-21.43456122021854
Israel,1998,10.234847707927395,-38.771900430828445
Israel,1999,4.037584891617807,-5.66064004035427
Israel,2000,-0.7243136904229619,-80.06878551793235
Israel,2001,6.395244100162123,11.492362277517664
Israel,2002,9.109380291229275,401.3704996622781
Israel,2003,4.787399130974568,-87.82549253525785
Israel,2004,-3.524620510921883,-154.30586216935157
Israel,2005,-12.948038989945498,-444.17062822641833
Israel,2006,-5.598659848351262,57.1031402644431
Israel,2007,-12.40310077519381,-77.94208193301583
Israel,2008,-17.85904680669581,900.0990021432696
Israel,2009,23.753894080996908,-26.27284486043752
Israel,2010,-11.055170967065242,-19.80848719477556
Israel,2011,-15.81367924528302,29.486065328207523
Israel,2012,-5.280851659896357,-51.81544698087159
Israel,2013,-9.24282756580893,-6.4882881867882265
Israel,2014,-5.670523056868171,-69.44530402860734
Israel,2015,-10.5890481948523,-225.3246349996723
Israel,2016,-8.75193199381763,-8.271977032911115
Israel,2017,-12.343849248359096,-147.03360861194622
Israel,2018,-5.386473429951688,206.10247538716683
Israel,2019,-4.748532039826392,7.015385410503594
Israel,2020,11.73948003216294,-172.3022542758698
Israel,2021,15.423362916766624,-345.79591496432755
Israel,2022,-23.212801330008325,190.9280407411764
Israel,2023,-8.281461434370774,-3.8293124985736338
Italy,1990,0.0,3.143498108091225
Italy,1991,0.0,-3.199973252957033
Italy,1992,-7.685451124096265,-15.670550752116252
Italy,1993,9.55906018667525,-12.216000575082496
Italy,1994,8.558558558558559,-12.425447780965836
Italy,1995,5.186721991701249,29.21092051783447
Italy,1996,1.740845553554604,-23.464121018479467
Italy,1997,1.01989211058664,-49.01123824606027
Italy,1998,1.1013767209011371,-4.308251433730758
Italy,1999,-3.5982503920112374,-14.916258931616069
Italy,2000,-7.251091516137309,52.55463896200207
Italy,2001,-11.3992985047074,9.75219834989145
Italy,2002,-4.042087717470566,-11.483778733549531
Italy,2003,-3.712951905330586,8.405889202376038
